Date,Description,Debit,Credit,Balance
26/10/2024,SWIGGY BANGALORE,450.00,,12500.00
25/10/2024,SALARY CREDIT,,50000.00,12950.00
24/10/2024,NETFLIX.COM,799.00,,62950.00
23/10/2024,UBER RIDE,285.00,,63749.00
22/10/2024,AMAZON PAY INDIA,1250.00,,64034.00
21/10/2024,BIGBASKET GROCERIES,2150.00,,65284.00
20/10/2024,ZOMATO ORDER,680.00,,67434.00
19/10/2024,RELIANCE JIO RECHARGE,299.00,,68114.00
18/10/2024,ATM WITHDRAWAL,5000.00,,68413.00
17/10/2024,FLIPKART SHOPPING,3499.00,,73413.00
16/10/2024,HDFC BANK TRANSFER,10000.00,,76912.00
15/10/2024,GPAY TO AMIT,,500.00,86912.00
14/10/2024,STARBUCKS COFFEE,450.00,,86412.00
13/10/2024,OLA CAB SERVICE,320.00,,86862.00
12/10/2024,MYNTRA FASHION,1899.00,,87182.00
